const,climate_change,quality_of_life,score_welfare_vehicle_ownership_license,LOW,HIGH,y_price,y_acceptability,weights
1.0,1.0,1.0,0.492232805297794,0,0,1.5,1.0,1709.7350669178422
1.0,0.0,0.0,0.45771700885558453,1,0,0.0,0.0,1849.452980922298
1.0,0.0,0.0,0.4834266797354959,0,0,0.0,0.0,706.6780529830002
1.0,0.0,0.5,0.4880442386409695,0,1,2.5,0.8,1526.074379323687
1.0,0.0,0.0,0.4866930513288875,0,1,0.0,0.0,2985.2009853236436
1.0,0.0,0.0,0.4283793750232815,1,0,0.0,0.0,1483.8615395097788
1.0,0.8,1.0,0.4818341698461802,0,1,0.0,0.0,2155.2886877111496
1.0,0.8,1.0,0.4571758390641471,0,0,1.0,0.9,1294.3017569312403
1.0,1.0,1.0,0.4838266855321821,0,0,1.0,0.5,1709.7350669178422
1.0,0.5,0.7,0.5,1,0,0.5,0.2,1833.2588471930515
1.0,0.1,0.1,0.47583793981484385,0,0,1.0,0.0,1129.7764762373772
1.0,0.7,0.9,0.41665868970074077,1,0,2.5,0.5,1166.9843843219962
1.0,0.0,0.3,0.4413685343662236,1,0,0.0,0.0,1777.252264836571
1.0,1.0,1.0,0.45009080398493057,0,0,1.0,1.0,1597.938834783116
1.0,0.7,0.8,0.483089783260967,0,0,1.0,0.0,1526.074379323687
1.0,0.0,0.0,0.5,1,0,0.0,0.0,3615.7008815247223
1.0,0.8,0.8,0.4834266797354959,0,0,2.5,0.4,769.2028691431852
1.0,0.0,0.0,0.4767934527143658,0,0,0.0,0.0,2036.449765309154
1.0,0.0,0.0,0.4587424863960936,0,0,0.0,0.0,1388.483433381881
1.0,0.0,0.0,0.5,0,0,0.0,0.0,3787.874320981247
1.0,0.7,1.0,0.4614966958553043,0,0,1.0,0.6,2036.239197069362
1.0,0.8,0.9,0.5,0,0,1.5,0.9,3631.6772664477853
1.0,0.4,0.3,0.4691596476330752,0,0,0.0,0.0,1848.743563849006
1.0,1.0,1.0,0.4742594812553233,0,1,0.0,0.0,3058.9858635056557
1.0,0.8,0.6,0.5,0,0,0.0,0.4,2589.497159245435
1.0,1.0,1.0,0.4676074791458385,0,0,2.0,1.0,1864.186310569944
1.0,0.0,0.4,0.43538886990488357,0,0,0.0,0.0,1805.9644067585923
1.0,0.0,0.0,0.4750229846855785,0,0,0.0,0.0,706.6780529830002
1.0,1.0,1.0,0.45009080398493057,0,0,1.0,0.8,1597.938834783116
1.0,1.0,1.0,0.44966573322746317,0,0,1.0,0.7,1129.7764762373772
1.0,0.0,0.0,0.24531351158406858,1,0,0.0,0.0,1805.9644067585923
1.0,1.0,1.0,0.5,0,1,5.0,1.0,3631.6772664477853
1.0,0.6,0.7,0.47546093623240604,0,1,1.0,0.8,3787.874320981247
1.0,0.8,0.8,0.5,0,0,0.0,0.5,3787.874320981247
1.0,0.1,0.1,0.5,0,0,0.5,0.1,3151.9834919812283
1.0,1.0,1.0,0.49091895590816986,0,1,2.5,1.0,3615.7008815247223
1.0,0.5,0.5,0.470804140222225,0,0,0.0,0.0,1129.7764762373772
1.0,1.0,1.0,0.5,0,0,0.5,0.0,1354.6694311718043
1.0,1.0,0.9,0.23476943531064048,1,0,0.0,0.4,1388.483433381881
1.0,1.0,1.0,0.4699067874442729,0,0,0.0,0.0,1864.186310569944
1.0,0.7,0.6,0.481996793353187,0,1,1.0,0.5,1526.074379323687
1.0,0.5,0.3,0.5028953591933283,0,1,1.5,0.7,1597.938834783116
1.0,1.0,1.0,0.5,1,0,1.5,0.0,2622.5495915603124
1.0,0.8,0.8,0.5,0,0,2.5,1.0,1572.443128965796
1.0,0.9,1.0,0.4718815325864133,0,0,0.5,0.6,3995.0421434245236
1.0,0.0,0.0,0.5,0,0,0.0,0.0,3631.6772664477853
1.0,0.5,0.6,0.4728546700235618,0,0,0.5,0.0,1518.0518099029305
1.0,0.8,0.8,0.5,0,0,5.0,1.0,3995.0421434245236
1.0,0.9,0.9,0.4695152451175858,0,0,0.0,0.0,1483.8615395097788
1.0,0.3,0.3,0.48255552586250544,0,0,0.0,0.3,1849.452980922298
1.0,0.2,0.2,0.4703316269797658,0,0,0.5,0.0,2206.054422184021
1.0,0.5,1.0,0.48043054122033463,0,1,0.0,0.0,1518.0518099029305
1.0,0.2,0.4,0.3695368353661846,0,0,0.0,0.0,2985.2009853236436
1.0,1.0,1.0,0.46732270213342,0,0,4.0,1.0,2983.1769870096127
1.0,0.7,0.8,0.47388401986599316,0,0,0.5,0.0,1294.3017569312403
1.0,1.0,0.9,0.5,0,0,10.0,1.0,12070.779696300731
1.0,0.5,0.5,0.4735275647121801,0,0,0.0,0.6,2983.1769870096127
1.0,0.8,0.9,0.5,1,0,2.5,0.9,1903.419191953312
1.0,0.9,1.0,0.5,0,1,2.5,0.5,11286.221264026852
1.0,0.2,0.2,0.4536071680905853,0,0,0.5,0.2,2983.1769870096127
1.0,0.3,0.4,0.49193556242149,0,1,0.5,0.1,1558.9595244238774
1.0,0.7,0.2,0.45863394843279315,0,0,0.0,0.0,1386.4199608166812
1.0,0.6,0.8,0.4420928790922147,0,0,0.0,0.0,3631.6772664477853
1.0,0.9,0.9,0.4614966958553043,0,0,2.5,0.7,1518.0518099029305
1.0,0.0,0.0,0.4749064094315135,0,1,0.0,0.0,984.1211953571602
1.0,1.0,0.0,0.4859136811559774,0,1,0.0,0.0,1713.014726077213
1.0,0.8,0.8,0.47245514064637617,0,0,2.5,0.6,1252.0486290295987
1.0,1.0,1.0,0.47740133775189625,0,0,2.0,0.7,1805.9644067585923
1.0,0.6,0.7,0.47318881342510727,0,0,0.5,0.8,4942.377056493743
1.0,1.0,1.0,0.4283551208893503,0,1,0.5,0.6,1713.014726077213
1.0,0.0,0.0,0.00039281060371053984,1,0,0.0,0.0,3995.0421434245236
1.0,0.5,1.0,0.47653915176725703,0,1,1.5,0.7,2452.513475398688
1.0,0.9,0.8,0.5,1,0,2.5,0.0,3995.0421434245236
1.0,0.5,0.5,0.4830018606336482,0,1,0.0,0.0,2155.2886877111496
1.0,0.5,0.5,0.5,0,0,0.0,0.0,3378.9742264127185
1.0,1.0,1.0,0.45193497089432105,0,0,0.0,0.0,1903.419191953312
1.0,0.7,0.8,0.4756769882283164,0,0,2.5,0.7,3011.0203019470987
1.0,0.8,0.8,0.474155193762146,0,1,2.5,0.8,3631.6772664477853
1.0,0.4,0.4,0.5,0,0,2.5,0.5,3787.874320981247
1.0,0.5,0.5,0.29715997953314544,1,0,2.5,0.3,5891.371883847071
1.0,0.7,0.7,0.5,0,1,1.5,0.5,6065.606139178169
1.0,0.8,0.6,0.47209603640181136,0,0,5.0,0.4,1645.9800986713717
1.0,0.5,1.0,0.4767903263890544,0,0,0.0,0.0,2036.449765309154
1.0,0.7,0.7,0.47459701273580207,0,1,1.0,0.7,1645.9800986713717
1.0,0.5,0.5,0.46977857340605483,0,0,0.0,0.5,3787.874320981247
1.0,0.9,0.9,0.49052088598961885,0,1,1.0,0.7,1597.938834783116
1.0,1.0,1.0,0.4763175090329565,0,1,1.0,0.7,1550.9439827351741
1.0,0.8,0.6,0.46815884458526724,0,0,0.0,0.0,9506.459072786514
1.0,0.4,0.3,0.4685834660535858,0,0,0.0,0.5,7815.399180424126
1.0,0.9,0.8,0.5,1,0,1.0,0.8,1833.2588471930515
1.0,0.0,0.0,0.4647938942501675,0,0,0.0,0.0,4418.090067264116
1.0,0.2,0.3,0.48534177380951965,0,0,0.0,0.0,1656.7756148049546
1.0,0.5,0.5,0.470851524033014,0,0,0.0,0.0,6065.606139178169
1.0,1.0,0.8,0.5,0,0,0.5,0.7,9278.567733959218
1.0,0.8,0.8,0.47652739195442506,0,1,1.0,0.4,2452.513475398688
1.0,0.1,0.1,0.4705665712630947,0,0,0.0,0.0,1848.743563849006
1.0,0.0,0.0,0.49242158481958337,0,0,0.5,0.0,1848.743563849006
1.0,0.4,0.4,0.47884777238586673,0,1,2.5,0.4,2983.1769870096127
1.0,0.9,1.0,0.4292991337814002,1,0,5.0,0.9,2985.2009853236436
1.0,1.0,1.0,0.4846706311768447,0,0,1.0,1.0,3600.246944621855
1.0,0.4,0.4,0.45991264081742256,0,0,0.5,0.3,2452.513475398688
1.0,0.5,0.7,0.49491783183841137,0,0,1.5,0.2,1378.7917545688633
1.0,0.5,0.4,0.47119592854495995,0,0,2.5,0.5,2983.1769870096127
1.0,1.0,1.0,0.46000506379644807,0,1,2.5,0.9,2983.1769870096127
1.0,0.8,0.8,0.5,0,0,0.0,0.7,2911.663483156792
1.0,0.0,0.4,0.4741276170560644,0,1,0.0,0.0,1656.7756148049546
1.0,1.0,0.7,0.47257998348637176,0,1,2.5,1.0,3631.6772664477853
1.0,0.2,0.2,0.46943188706426553,0,0,0.0,0.0,1597.938834783116
1.0,1.0,1.0,0.47320741076408446,0,1,2.5,0.8,2452.513475398688
1.0,1.0,1.0,0.5,1,0,2.5,1.0,2136.416603049381
1.0,0.7,1.0,0.48464050546920223,0,0,1.5,0.7,2567.292378026637
1.0,0.8,0.8,0.5,1,0,0.0,0.0,1833.2588471930515
1.0,1.0,1.0,0.474150812501723,0,0,0.0,0.0,2589.497159245435
1.0,0.0,0.0,0.5,0,0,0.0,1.0,7496.4127713696325
1.0,0.5,0.1,0.4679656918192302,0,0,0.0,0.0,2182.188595031281
1.0,0.4,0.4,0.4711362899129791,0,0,0.5,0.5,1550.9439827351741
1.0,0.8,0.8,0.5,0,0,0.5,0.0,1841.3056663094005
1.0,0.3,0.6,0.46831462702604904,0,0,0.0,0.0,1408.6986561824904
1.0,0.2,0.2,0.4504285327615867,0,0,1.0,0.1,1550.9439827351741
1.0,0.5,0.0,0.4600899404385456,0,1,1.5,0.0,1550.9439827351741
1.0,0.1,0.1,0.4697388398663682,0,0,0.0,0.0,1832.5556418997137
1.0,0.3,0.0,0.464074075796348,0,0,0.5,0.0,1981.4538047339172
1.0,1.0,1.0,0.39501097606219215,1,0,0.5,1.0,4355.308623961251
1.0,0.7,0.7,0.5,0,0,0.0,0.0,3615.7008815247223
1.0,0.0,0.0,0.2712369855715833,1,0,0.0,0.0,1848.743563849006
1.0,1.0,1.0,0.5,0,0,2.5,0.8,1847.8631692297702
1.0,0.8,1.0,0.44949431704955367,0,0,0.5,0.6,3190.551679156018
1.0,0.0,0.0,0.4792194177262319,0,1,0.5,0.2,3190.551679156018
1.0,0.3,0.4,0.4619321845752897,0,0,0.5,0.2,2983.1769870096127
1.0,0.7,0.8,0.46016306908617743,0,0,0.0,0.7,1388.483433381881
1.0,0.3,0.7,0.4781762475596489,0,0,0.0,0.0,6545.661937930727
1.0,0.0,0.1,0.44041255096004694,0,0,5.0,0.0,1550.9439827351741
1.0,0.2,0.7,0.47288562582024596,0,0,1.0,0.0,1903.419191953312
1.0,0.9,0.9,0.4720594800747781,0,0,1.0,0.7,1294.3017569312403
1.0,0.6,0.7,0.48623295520402343,0,0,4.0,1.0,3615.7008815247223
1.0,1.0,1.0,0.48911639276825725,0,0,2.5,1.0,1833.2588471930515
1.0,0.5,0.0,0.5,0,0,0.0,0.0,12070.779696300731
1.0,0.7,0.8,0.46533674578297346,0,0,2.0,0.5,3787.874320981247
1.0,0.6,0.7,0.5,0,0,0.0,0.4,2622.5495915603124
1.0,0.8,0.7,0.5,0,0,0.0,0.0,2622.5495915603124
1.0,0.5,0.0,0.4674688050826879,0,0,0.0,0.0,2983.1769870096127
1.0,0.0,0.0,0.5,1,0,0.0,0.0,1716.1843920345632
1.0,1.0,1.0,0.509484228435108,0,1,0.0,0.0,1518.0518099029305
1.0,0.3,0.8,0.42565669200106226,0,1,2.5,0.3,1435.6390589192533
1.0,0.6,0.6,0.5,0,0,2.5,0.9,3631.6772664477853
1.0,0.9,0.9,0.5,0,1,5.0,0.9,3995.0421434245236
1.0,0.5,0.5,0.477698108948537,0,1,0.0,0.6,3631.6772664477853
1.0,0.0,0.0,0.5,0,0,0.5,0.0,1903.419191953312
1.0,1.0,0.5,0.4802363257297775,0,0,0.5,1.0,3011.0203019470987
1.0,0.0,0.0,0.5,0,0,0.5,0.0,3787.874320981247
1.0,1.0,1.0,0.48329324652160705,0,0,1.0,0.2,1597.938834783116
1.0,0.0,0.0,0.5,0,0,0.0,0.0,3378.9742264127185
1.0,0.6,0.4,0.470804140222225,0,0,0.0,0.0,706.6780529830002
1.0,1.0,1.0,0.4823181679325516,0,1,0.0,0.0,3365.0505108892385
1.0,0.7,0.7,0.5,0,1,0.5,0.2,3995.0421434245236
1.0,0.0,0.0,0.45367280413749833,0,0,0.0,0.0,1903.419191953312
1.0,0.0,0.0,0.5,0,0,0.0,0.0,3995.0421434245236
1.0,0.0,0.0,0.467066265712184,0,0,0.0,0.0,2983.1769870096127
1.0,1.0,0.7,0.47134836140564096,0,0,0.5,0.7,1903.419191953312
1.0,0.9,0.5,0.47830727831173364,0,0,0.0,0.2,1518.0518099029305
1.0,0.9,0.8,0.5,0,0,2.5,0.2,1251.3978000805448
1.0,0.0,0.0,0.4612717193982933,0,0,0.0,0.0,2622.5495915603124
1.0,0.9,0.9,0.3458078315483644,1,0,0.0,0.3,1518.0518099029305
1.0,0.9,1.0,0.5,0,0,2.5,0.9,3995.0421434245236
1.0,0.0,0.0,0.4211770602271799,1,0,0.0,0.0,1483.8615395097788
1.0,0.8,0.5,0.48534177380951965,0,0,0.0,0.5,2985.2009853236436
1.0,0.0,0.0,0.4404572270439699,0,1,0.0,0.0,1645.9800986713717
1.0,0.6,1.0,0.5,1,0,0.0,0.3,3995.0421434245236
1.0,0.6,0.8,0.4859136811559774,0,1,2.5,0.3,1518.0518099029305
1.0,1.0,1.0,0.4683451730084076,0,0,0.0,0.0,1388.483433381881
1.0,0.0,0.1,0.47546093623240604,0,1,0.0,0.0,6314.278227991506
1.0,0.6,0.8,0.5,0,0,2.0,1.0,3787.874320981247
1.0,0.2,0.2,0.4706089803946398,0,0,0.5,0.3,2251.9636004076297
1.0,0.2,0.2,0.4691596476330752,0,0,0.0,0.0,1262.452051014077
1.0,0.6,0.9,0.5,0,0,2.0,0.7,2452.513475398688
1.0,1.0,1.0,0.45754962347546224,0,0,2.5,1.0,3190.551679156018
1.0,0.4,0.5,0.4150637031493032,1,0,0.0,0.0,3718.8169982695954
1.0,0.0,1.0,0.48013101033301436,0,1,0.0,0.0,2452.513475398688
1.0,1.0,1.0,0.5,1,0,1.0,1.0,5842.0268983552505
1.0,0.7,0.7,0.46562938117911884,0,0,0.0,0.0,937.6606395723757
1.0,0.4,0.7,0.4731598743534454,0,0,0.0,0.0,1388.483433381881
1.0,0.0,0.0,0.4877645682404809,0,0,0.0,0.0,1848.743563849006
1.0,0.4,0.4,0.44873943182607645,0,0,0.0,0.0,3365.0505108892385
1.0,1.0,1.0,0.49130438261285164,0,1,1.0,0.7,1848.743563849006
1.0,0.5,0.5,0.4771572117396621,0,1,0.0,0.0,3190.551679156018
1.0,0.5,0.8,0.25242346506788893,1,0,2.0,0.0,7815.399180424126
1.0,0.5,0.1,0.48739126328573984,0,0,0.0,0.0,1832.5556418997137
1.0,0.0,0.0,0.4759052644171016,0,1,0.0,0.0,2983.1769870096127
1.0,1.0,1.0,0.47135271867871986,0,0,1.5,0.8,1833.2588471930515
1.0,0.7,0.8,0.4751756189508504,0,0,0.5,0.6,1483.8615395097788
1.0,0.8,0.8,0.46570937109856947,0,0,1.0,0.7,1805.9644067585923
1.0,0.2,0.2,0.5,0,0,0.0,0.0,2911.663483156792
1.0,0.8,0.8,0.5,0,0,1.5,0.0,3995.0421434245236
1.0,1.0,1.0,0.5,0,0,2.5,0.1,12070.779696300731
1.0,1.0,1.0,0.45920707409193867,0,0,5.0,1.0,11286.221264026852
1.0,0.7,0.7,0.5,0,0,0.0,0.0,2136.416603049381
1.0,0.0,0.0,0.48333228004136825,0,0,0.0,0.0,1864.186310569944
1.0,0.0,0.2,0.48546683491775394,0,1,0.5,0.0,3058.9858635056557
1.0,1.0,1.0,0.5,0,0,1.0,0.0,3365.0505108892385
1.0,0.8,0.8,0.4692103486458062,0,0,1.5,0.8,2352.4138581411694
1.0,0.5,0.5,0.4572814918808024,0,0,0.0,0.5,3190.551679156018
1.0,0.0,0.0,0.5,1,0,0.0,0.0,3787.874320981247
1.0,0.5,0.7,0.4837739950380442,0,0,0.0,0.7,4967.920099813561
1.0,0.6,0.6,0.5,0,0,3.5,0.4,2589.497159245435
1.0,0.8,0.8,0.46593460648061946,0,0,0.0,0.0,3995.0421434245236
1.0,0.3,0.5,0.4263344711858486,1,0,0.0,0.0,1262.452051014077
1.0,0.7,0.7,0.4837199034054695,0,1,0.5,0.0,2567.292378026637
1.0,0.1,0.3,0.4810399417139535,0,1,1.0,0.1,2452.513475398688
1.0,0.7,0.8,0.46779672857308263,0,0,0.0,0.5,3190.551679156018
1.0,0.8,0.7,0.5,0,0,0.5,0.0,2567.292378026637
1.0,1.0,1.0,0.4776030836545014,0,1,2.5,1.0,3058.9858635056557
1.0,1.0,1.0,0.5,1,0,0.5,1.0,2136.416603049381
1.0,0.9,0.9,0.5,0,0,0.0,0.9,3995.0421434245236
1.0,0.0,0.0,0.5,0,0,0.5,0.0,2911.663483156792
1.0,1.0,1.0,0.5,0,0,1.0,1.0,3541.6757477581527
1.0,0.5,0.5,0.4693586426603188,0,0,0.5,1.0,706.6780529830002
1.0,0.5,0.5,0.46026755203326786,0,1,0.0,0.1,1981.4538047339172
1.0,1.0,0.6,0.5,0,0,0.0,0.0,1777.252264836571
1.0,1.0,1.0,0.47741723052628865,0,1,2.5,1.0,10167.297847088561
1.0,0.4,0.5,0.45837905257009576,0,1,1.5,0.0,2983.1769870096127
1.0,1.0,0.8,0.5,0,0,1.0,1.0,1841.3056663094005
1.0,0.2,0.3,0.464074075796348,0,0,0.0,0.0,2983.1769870096127
1.0,1.0,0.0,0.5,0,0,0.0,0.0,3787.874320981247
1.0,0.0,0.0,0.45554368112900756,0,0,0.0,0.0,2983.1769870096127
1.0,1.0,0.9,0.5,0,1,2.5,0.8,9278.567733959218
1.0,0.1,0.5,0.48331421000255637,0,0,0.0,0.0,1886.515216216387
1.0,0.0,0.5,0.48338818020991314,0,0,0.0,0.0,1129.7764762373772
1.0,0.8,0.8,0.46240763650590666,0,0,1.0,0.7,3718.8169982695954
1.0,0.5,0.0,0.4715669442321229,0,0,0.0,0.0,10167.297847088561
1.0,0.7,0.8,0.5,0,0,0.5,0.5,2041.9241499559391
1.0,0.0,0.0,0.45426282618010655,0,0,0.0,0.0,1597.938834783116
1.0,1.0,1.0,0.5,0,1,0.0,0.0,3787.874320981247
1.0,1.0,1.0,0.4338166330620994,0,1,0.5,0.8,3190.551679156018
1.0,0.5,0.5,0.44945949208499547,0,1,0.0,0.2,2452.513475398688
1.0,0.9,0.9,0.5,0,0,1.0,0.9,2352.4138581411694
1.0,0.7,0.6,0.49092975419179746,0,1,1.5,0.7,2567.292378026637
1.0,1.0,1.0,0.5,0,0,0.0,0.0,2041.9241499559391
1.0,1.0,0.5,0.5,0,0,1.0,1.0,3631.6772664477853
1.0,0.2,0.5,0.47095540799308216,0,0,0.0,0.0,2182.188595031281
1.0,0.7,1.0,0.4842396466344828,0,1,2.0,0.3,2136.416603049381
1.0,0.3,0.2,0.46752164401507146,0,0,1.0,0.7,2983.1769870096127
1.0,1.0,1.0,0.49133399284171553,0,0,0.5,1.0,1848.743563849006
1.0,0.7,0.6,0.45563630160761437,0,0,2.0,0.2,5867.669613128392
1.0,1.0,0.5,0.5,0,0,1.5,0.5,2622.5495915603124
1.0,0.7,0.8,0.5,0,0,3.0,0.9,1841.3056663094005
1.0,0.7,0.7,0.5,0,0,2.5,0.8,3631.6772664477853
1.0,0.8,0.8,0.47687721835978925,0,0,1.5,0.5,1864.186310569944
1.0,0.7,0.7,0.4759228119197374,0,1,1.0,0.3,1597.938834783116
1.0,0.5,0.5,0.4685535851906364,0,0,2.5,0.5,2041.9241499559391
1.0,0.8,0.7,0.5,0,0,2.5,0.3,3995.0421434245236
1.0,0.8,0.8,0.5,0,0,2.0,0.5,3995.0421434245236
1.0,1.0,1.0,0.2401254204969111,1,0,0.0,0.0,3058.9858635056557
1.0,1.0,1.0,0.47084940072799264,0,1,0.0,0.0,1713.014726077213
1.0,1.0,1.0,0.49904483836247143,0,1,1.5,0.0,1526.074379323687
1.0,1.0,1.0,0.46271129208350587,0,0,0.0,1.0,3190.551679156018
1.0,0.9,0.8,0.48324649906955486,0,1,2.5,0.9,3151.9834919812283
1.0,0.5,0.6,0.47198623805221207,0,1,0.0,0.0,3058.9858635056557
1.0,0.3,0.9,0.5,0,0,0.5,0.7,1262.452051014077
1.0,0.3,0.3,0.46472898214261554,0,0,1.0,0.0,7815.399180424126
1.0,0.0,0.2,0.4940411899617473,0,0,1.0,0.0,5842.0268983552505
1.0,0.7,0.7,0.47611075841146533,0,1,2.5,0.8,3995.0421434245236
1.0,0.9,0.7,0.4408825535674573,0,0,5.0,0.0,1262.452051014077
1.0,0.7,0.9,0.4543462647960029,0,0,0.5,0.4,9278.567733959218
1.0,1.0,0.9,0.5,0,0,2.5,0.8,3954.954164442766
1.0,0.4,0.4,0.5,0,0,1.0,0.5,1645.9800986713717
1.0,0.8,0.6,0.46606751115481143,0,0,1.5,0.8,2983.1769870096127
1.0,0.0,0.0,0.47353320493790724,0,0,0.0,0.0,1166.9843843219962
1.0,1.0,1.0,0.471184517870751,0,0,5.0,1.0,937.6606395723757
1.0,0.5,0.5,0.4829657091365911,0,0,0.0,0.0,2589.497159245435
1.0,0.0,0.0,0.47497385881169973,0,1,0.0,0.0,2452.513475398688
1.0,1.0,1.0,0.47886098205504013,0,0,0.0,0.0,1354.6694311718043
1.0,0.8,0.8,0.49079547684292213,0,0,4.0,0.8,1833.2588471930515
1.0,1.0,1.0,0.5,0,0,3.0,1.0,7815.399180424126
1.0,1.0,1.0,0.44715828253153045,0,0,1.0,1.0,3058.9858635056557
1.0,0.5,0.5,0.47299570982894507,0,0,0.5,0.0,1604.8272096226763
1.0,0.8,0.7,0.5,0,1,0.5,0.8,1645.9800986713717
1.0,1.0,1.0,0.5,0,0,0.5,0.8,6314.278227991506
1.0,0.8,0.5,0.49745373211456734,0,0,0.5,0.0,5891.371883847071
1.0,0.0,0.0,0.5,1,0,0.0,0.0,5114.0861751099965
1.0,0.7,0.8,0.4458204518028551,0,0,2.5,0.8,3541.6757477581527
1.0,0.5,0.3,0.47053512404918385,0,0,1.5,0.7,1841.3056663094005
1.0,0.0,0.0,0.45941417615979696,0,1,1.5,0.0,3631.6772664477853
1.0,0.0,0.0,0.4750229846855785,0,0,0.0,0.0,1354.6694311718043
1.0,1.0,1.0,0.4962283886540611,0,1,0.0,0.0,1848.743563849006
1.0,0.4,0.4,0.45408900985760864,0,1,0.0,0.0,2983.1769870096127
1.0,1.0,1.0,0.4633941460568244,0,0,2.5,0.5,9506.459072786514
1.0,1.0,1.0,0.4654476740663336,0,0,0.0,0.7,3541.6757477581527
1.0,0.0,0.4,0.467066265712184,0,0,0.0,0.0,3058.9858635056557
1.0,0.5,0.0,0.47250038215998963,0,0,0.0,0.0,2136.416603049381
1.0,0.0,0.2,0.48800576084600866,0,0,0.0,0.0,1604.8272096226763
1.0,1.0,1.0,0.46165219917065337,0,1,0.0,0.0,1435.6390589192533
1.0,0.4,0.5,0.4395790550773784,0,1,0.0,0.2,1981.4538047339172
1.0,1.0,1.0,0.4589029789661514,0,0,1.5,0.7,1388.483433381881
1.0,0.5,0.5,0.4753516511216089,0,0,1.5,0.0,937.6606395723757
1.0,0.2,0.6,0.4732585146571986,0,0,0.0,0.0,1604.8272096226763
1.0,0.0,0.0,0.47653915176725703,0,1,0.0,0.0,2983.1769870096127
1.0,0.7,0.7,0.1640217018178731,1,0,2.5,0.8,3190.551679156018
1.0,0.5,0.5,0.45467977150921296,0,0,1.0,0.3,9278.567733959218
1.0,0.7,0.7,0.47191008688678343,0,0,5.0,0.7,3787.874320981247
1.0,0.9,0.9,0.4859136811559774,0,1,1.0,0.8,1518.0518099029305
1.0,0.6,0.6,0.4624855727002774,0,0,0.0,0.0,3190.551679156018
1.0,0.8,0.5,0.5,0,1,0.5,0.5,1217.2480863089165
1.0,1.0,1.0,0.4587056592326524,0,0,1.0,0.4,1981.4538047339172
1.0,0.7,0.7,0.47921915808624044,0,0,2.5,0.6,4351.510189111834
1.0,0.3,0.4,0.372084513230843,1,0,0.5,0.2,9506.459072786514
1.0,0.0,0.5,0.47377771932303564,0,0,0.0,0.0,922.3379504879617
1.0,1.0,1.0,0.46044056560342117,0,0,1.0,0.8,2983.1769870096127
1.0,0.7,0.7,0.4681072862348847,0,0,0.5,0.0,1849.452980922298
1.0,0.1,0.3,0.44162011755017955,0,1,0.0,0.0,3787.874320981247
1.0,0.8,0.8,0.5,0,0,2.5,0.8,7496.4127713696325
1.0,0.8,0.7,0.4873064741642794,0,1,2.5,0.7,1848.743563849006
1.0,1.0,1.0,0.4307224440068349,1,0,2.5,0.7,1695.07419232778
1.0,0.3,0.3,0.42530568011835956,1,0,0.5,0.2,1848.743563849006
1.0,1.0,1.0,0.5,0,0,2.5,0.0,3995.0421434245236
1.0,0.5,0.5,0.5,0,0,2.5,0.3,1709.7350669178422
1.0,0.6,0.0,0.4683492313993657,0,0,0.0,0.0,1864.186310569944
1.0,0.5,0.5,0.4211598277519358,1,0,1.5,0.0,3615.7008815247223
